,2022,2021,2020,2019,2018,2017,2016,2015,2014
KREDYTIN,102.02850877192981,-26.119662076148586,13.555424140876534,-42.047142149956215,-13.617973092990356,0.0,23.686887180113107,-11.215864759427824,276.84
CELTIC,12.594052310999643,-1.5462402257628287,-13.558977486405452,-22.72013196135417,87.15178243292907,-13.750475465956637,-12.730290456431531,100.9449694274597,89.95
VOTUM,39.74895397489539,-15.248226950354601,199.99999999999997,-58.771929824561404,-3.3898305084745646,-20.27027027027027,87.34177215189874,25.79617834394904,75.36
SECOGROUP,28.910635715369455,-21.953818827708712,7.895745496358767,-13.139496171346138,1.7387377215761617,-19.489137351149907,-8.932119205298006,-46.52146003497355,451.77
MFO,91.2344656172328,9.601065439796606,6.38201957753735,-30.879145337191186,39.707711442786064,111.38425134744318,18.76658860265417,64.05,
PEPEES,-15.804953560371509,-21.38728323699422,38.39999999999999,-13.194444444444452,38.461538461538474,92.5925925925926,14.893617021276594,7.59036144578313,41.5
PANOVA,41.0377358490566,-33.75,8.843537414965986,-36.08695652173913,-7.258064516129032,7.8729882557633735,47.94079794079794,-13.5706340378198,179.8
TORPOL,-0.15524282001956718,86.95816770774181,58.616893514811856,-44.93552298027114,-32.131503160414404,-6.281327771741041,24.575346054757446,229.01,
COGNOR,204.27385892116186,41.128245168846384,-20.231483884361857,9.013239787258106,53.473428273706155,106.08446671438796,-37.02952445345954,9.84032677311547,80.79
MERCOR,47.553360581289745,18.172670557456232,15.531271797256444,-28.032796028780183,6.315227703984823,21.010332950631437,11.389976820398061,-57.94763201236932,297.51
MLSYSTEM,8.633655994043187,264.2774801654574,-6.617274569402222,157.92,,,,,
OEX,41.301915815969785,-2.188483107646005,2.812543945999156,8.94744905776008,8.910395461371595,119.86,,,
TRAKCJA,-9.553099994556645,27.249428551638154,-28.70969334847661,-45.58084540348803,-48.870599873595125,11.937865272223931,66.44480851935288,-26.355478470703577,530.44
CDRL,73.70441458733205,-30.425920719707626,0.8577302048628397,-5.670344366432643,-5.545379902734795,11.751835121400342,31.53839012162289,107.71,
EMCINSMED,80.18186894268736,76.55798887402297,54.914366750299976,-29.157650695517777,-0.6144393241167304,-33.3299196067387,5.848238482384819,23.155997596956144,149.81
CIGAMES,21.759669323885444,74.49768160741885,9.65216689532726,-20.366323907455012,-60.127101271012705,35.54706495310873,166.2782093969663,-17.816965643052598,131.56
OAT,-24.176063706114856,414.74306230832525,-31.609371802741965,195.48,,,,,
RONSON,95.38952206744523,59.50475050497496,-0.6097107591642662,134.49,,16.79039476857931,-8.055295451185255,-20.319648151420548,509.31
QUERCUS,19.362660200900585,51.43499437991759,3.553969116163563,-58.71403857243545,-2.989806066633517,1.5143866733972777,-19.628775008241,-28.56133613506267,552.04
SONEL,6.770833333333329,1.0526315789473728,53.225806451612904,-11.30185979971388,-36.10603290676417,-13.17460317460318,66.88741721854305,-5.624999999999998,112.0
STALPROFI,38.287271311794484,-3.421052631578956,-15.555555555555555,-39.27125506072875,13.129770992366423,25.96153846153846,-20.972644376899698,-42.75843213282628,402.33
APLISENS,25.74347332576616,-0.05294206625320918,0.9621258399511231,-22.075449244317504,1.5038956332669018,-2.029585798816572,6.149111236731356,-34.27321141064277,242.23
SYNEKTIK,5.857848400257683,77.2744575561477,73.0338558819655,-47.306677773150085,6.972599688126543,-12.278530484627424,-12.199027738061185,174.85,
CNT,53.10344827586207,-18.02902979373568,19.51063635533644,38.50531107738999,7.5333152026108126,5.752085130859936,4.934359438660043,44.06521739130434,46.0
ROPCZYCE,42.48885841618101,12.019969278033798,-36.970518468315824,18.30364813011854,27.881939358429783,36.92338547934215,37.46898263027294,-36.82835495950535,114.83
INSTALKRK,83.83124747678642,14.605181986428128,32.34003469741812,1.051871712900893,-4.931372549019609,29.870129870129862,-32.40963855421686,-19.972451790633603,145.2
SKARBIEC,18.50291452646159,33.685672401820845,-9.95553702931776,-23.825148179508894,1.021117348302591,-14.31123734481652,-1.5381145692377072,221.7,
